"checking_status","duration","credit_history","purpose","credit_amount","savings_status","employment","installment_commitment","gender","civil_status","other_parties","residence_since","property_magnitude","age","other_payment_plans","housing","existing_credits","job","num_dependents","own_telephone","foreign_worker","class"
"no checking",36,"dully paid","used car",5842,"between 500 and 999","more than 7 years",2,"male","single","individual",2,"life insurance",35,"no debt","owned",2,"skilled",2,"yes","yes","good"
"negative",12,"delayed","new car",2579,"between 500 and 999","less than 1 year",4,"male","single","individual",1,"real estate",33,"no debt","owned",1,"unskilled res",2,"no","yes","bad"
"negative",18,"critical","education",8471,"between 100 and 499","less than 4 years",1,"female","unspecified","individual",2,"vehicle",23,"no debt","rented",2,"skilled",1,"yes","yes","good"
"no checking",21,"delayed","new car",2782,"more than or = 1000","less than 7 years",1,"female","unspecified","individual",2,"vehicle",31,"bank debt","owned",1,"highly qualified",1,"no","yes","good"
"less than 200",18,"delayed","new car",1042,"between 100 and 499","less than 4 years",4,"female","unspecified","individual",2,"life insurance",33,"no debt","owned",1,"skilled",1,"no","yes","bad"
"no checking",15,"delayed","new car",3186,"no savingss","less than 7 years",2,"female","unspecified","individual",3,"vehicle",20,"no debt","rented",1,"skilled",1,"no","yes","good"
"less than 200",12,"delayed","used car",2028,"between 100 and 499","less than 4 years",4,"male","single","individual",2,"vehicle",30,"no debt","owned",1,"skilled",1,"no","yes","good"
"less than 200",12,"dully paid","new car",958,"between 500 and 999","less than 7 years",2,"male","single","individual",3,"real estate",47,"no debt","owned",2,"unskilled res",2,"no","yes","good"
"no checking",21,"critical","furniture/equipment",1591,"less than 100","less than 7 years",4,"male","single","individual",3,"real estate",34,"no debt","owned",2,"highly qualified",1,"no","yes","good"
"less than 200",12,"delayed","furniture/equipment",2762,"between 100 and 499","more than 7 years",1,"female","unspecified","individual",2,"life insurance",25,"bank debt","owned",1,"skilled",1,"yes","yes","bad"
"less than 200",18,"delayed","used car",2779,"between 500 and 999","less than 4 years",1,"male","married/widowed","individual",3,"vehicle",21,"no debt","rented",1,"skilled",1,"yes","yes","good"
"no checking",28,"dully paid","radio/tv",2743,"between 500 and 999","more than 7 years",4,"male","single","individual",2,"vehicle",29,"no debt","owned",2,"skilled",1,"no","yes","good"
"no checking",18,"dully paid","radio/tv",1149,"no savingss","less than 4 years",4,"male","single","individual",3,"real estate",46,"no debt","owned",2,"skilled",1,"no","yes","good"
"no checking",9,"delayed","furniture/equipment",1313,"between 500 and 999","more than 7 years",1,"male","single","individual",4,"vehicle",20,"no debt","owned",1,"skilled",1,"no","yes","good"
"negative",18,"dully paid","repairs",1190,"between 500 and 999","unemployed",2,"female","unspecified","individual",4,"no collateral",55,"no debt","free use",3,"unskilled non-res",2,"no","yes","bad"
"no checking",5,"delayed","business",3448,"between 500 and 999","less than 7 years",1,"male","single","individual",4,"real estate",74,"no debt","owned",1,"unskilled res",1,"no","yes","good"
"less than 200",24,"delayed","other",11328,"between 500 and 999","less than 4 years",2,"male","single","co-aplicant",3,"vehicle",29,"bank debt","owned",2,"highly qualified",1,"yes","yes","bad"
"negative",6,"dully paid","furniture/equipment",1872,"between 500 and 999","unemployed",4,"male","single","individual",4,"no collateral",36,"no debt","free use",3,"highly qualified",1,"yes","yes","good"
"no checking",24,"dully paid","repairs",2058,"between 500 and 999","less than 4 years",4,"male","divorced","individual",2,"real estate",33,"no debt","owned",2,"skilled",1,"yes","yes","good"
"negative",9,"delayed","furniture/equipment",2136,"between 500 and 999","less than 4 years",3,"male","single","individual",2,"real estate",25,"no debt","owned",1,"skilled",1,"no","yes","good"
"less than 200",12,"delayed","radio/tv",1484,"between 100 and 499","less than 4 years",2,"male","married/widowed","individual",1,"real estate",25,"no debt","owned",1,"skilled",1,"yes","yes","bad"
"no checking",6,"delayed","repairs",660,"more than or = 1000","less than 7 years",2,"male","married/widowed","individual",4,"real estate",23,"no debt","rented",1,"unskilled res",1,"no","yes","good"
"no checking",24,"dully paid","new car",1287,"no savingss","more than 7 years",4,"female","unspecified","individual",4,"real estate",37,"no debt","owned",2,"skilled",1,"yes","yes","good"
"negative",42,"dully paid","repairs",3394,"between 500 and 999","unemployed",4,"male","single","co-aplicant",4,"vehicle",65,"no debt","owned",2,"unskilled non-res",1,"no","yes","good"
"more than or = 200",12,"no credits","business",609,"between 500 and 999","less than 1 year",4,"female","unspecified","individual",1,"real estate",26,"no debt","owned",1,"unskilled non-res",1,"no","yes","bad"
"no checking",12,"delayed","new car",1884,"between 500 and 999","more than 7 years",4,"male","single","individual",4,"vehicle",39,"no debt","owned",1,"highly qualified",1,"yes","yes","good"
"negative",12,"delayed","furniture/equipment",1620,"between 500 and 999","less than 4 years",2,"female","unspecified","co-aplicant",3,"life insurance",30,"no debt","owned",1,"skilled",1,"no","yes","good"
"less than 200",20,"critical","other",2629,"between 500 and 999","less than 4 years",2,"male","single","individual",3,"vehicle",29,"bank debt","owned",2,"skilled",1,"yes","yes","good"
"no checking",12,"delayed","education",719,"between 500 and 999","more than 7 years",4,"male","single","individual",4,"vehicle",41,"bank debt","owned",1,"unskilled res",2,"no","yes","bad"
"less than 200",48,"dully paid","furniture/equipment",5096,"between 500 and 999","less than 4 years",2,"female","unspecified","individual",3,"vehicle",30,"no debt","owned",1,"highly qualified",1,"yes","yes","bad"
"no checking",9,"dully paid","education",1244,"between 100 and 499","more than 7 years",4,"female","unspecified","individual",4,"life insurance",41,"no debt","rented",2,"unskilled res",1,"no","yes","good"
"negative",36,"delayed","new car",1842,"between 500 and 999","less than 1 year",4,"female","unspecified","individual",4,"vehicle",34,"no debt","owned",1,"skilled",1,"yes","yes","bad"
"less than 200",7,"delayed","radio/tv",2576,"between 500 and 999","less than 4 years",2,"male","single","guaranteed",2,"real estate",35,"no debt","owned",1,"skilled",1,"no","yes","good"
"more than or = 200",12,"delayed","furniture/equipment",1424,"between 100 and 499","more than 7 years",3,"female","unspecified","individual",4,"real estate",55,"no debt","owned",1,"highly qualified",1,"yes","yes","good"
"less than 200",15,"critical","repairs",1512,"no savingss","less than 4 years",3,"male","married/widowed","individual",3,"life insurance",61,"purchase debt","owned",2,"skilled",1,"no","yes","bad"
"no checking",36,"dully paid","used car",11054,"between 100 and 499","less than 4 years",4,"male","single","individual",2,"vehicle",30,"no debt","owned",1,"highly qualified",1,"yes","yes","good"
"no checking",6,"delayed","radio/tv",518,"between 500 and 999","less than 4 years",3,"female","unspecified","individual",1,"real estate",29,"no debt","owned",1,"skilled",1,"no","yes","good"
"no checking",12,"duly paying","furniture/equipment",2759,"between 500 and 999","more than 7 years",2,"male","single","individual",4,"life insurance",34,"no debt","owned",2,"skilled",1,"no","yes","good"
"no checking",24,"delayed","used car",2670,"between 500 and 999","more than 7 years",4,"male","single","individual",4,"vehicle",35,"no debt","owned",1,"highly qualified",1,"yes","yes","good"
"negative",24,"delayed","new car",4817,"between 500 and 999","less than 7 years",2,"male","single","co-aplicant",3,"life insurance",31,"no debt","owned",1,"skilled",1,"yes","yes","bad"
"no checking",24,"delayed","used car",2679,"between 500 and 999","less than 1 year",4,"female","unspecified","individual",1,"no collateral",29,"no debt","owned",1,"highly qualified",1,"yes","yes","good"
"negative",11,"dully paid","new car",3905,"between 500 and 999","less than 4 years",2,"male","single","individual",2,"real estate",36,"no debt","rented",2,"skilled",2,"no","yes","good"
"negative",12,"delayed","used car",3386,"between 500 and 999","more than 7 years",3,"male","single","individual",4,"no collateral",35,"no debt","free use",1,"skilled",1,"yes","yes","bad"
"negative",6,"delayed","domestic appliance",343,"between 500 and 999","less than 1 year",4,"female","unspecified","individual",1,"real estate",27,"no debt","owned",1,"skilled",1,"no","yes","good"
"no checking",18,"delayed","radio/tv",4594,"between 500 and 999","less than 1 year",3,"male","single","individual",2,"vehicle",32,"no debt","owned",1,"skilled",1,"yes","yes","good"
"negative",36,"delayed","furniture/equipment",3620,"between 500 and 999","less than 4 years",1,"male","single","guaranteed",2,"life insurance",37,"no debt","owned",1,"skilled",2,"no","yes","good"
"negative",15,"delayed","new car",1721,"between 500 and 999","less than 1 year",2,"male","single","individual",3,"real estate",36,"no debt","owned",1,"skilled",1,"no","yes","good"
"less than 200",12,"delayed","furniture/equipment",3017,"between 500 and 999","less than 1 year",3,"female","unspecified","individual",1,"real estate",34,"no debt","rented",1,"highly qualified",1,"no","yes","good"
"less than 200",12,"delayed","retraining",754,"between 100 and 499","more than 7 years",4,"male","single","individual",4,"life insurance",38,"no debt","owned",2,"skilled",1,"no","yes","good"
"no checking",18,"delayed","business",1950,"between 500 and 999","less than 7 years",4,"male","single","individual",1,"vehicle",34,"purchase debt","owned",2,"skilled",1,"yes","yes","good"
"negative",24,"delayed","used car",2924,"between 500 and 999","less than 4 years",3,"male","single","guaranteed",4,"no collateral",63,"bank debt","owned",1,"skilled",2,"yes","yes","good"
"negative",24,"critical","radio/tv",1659,"between 500 and 999","less than 1 year",4,"female","unspecified","individual",2,"vehicle",29,"no debt","rented",1,"unskilled res",1,"yes","yes","bad"
"no checking",48,"critical","radio/tv",7238,"between 100 and 499","more than 7 years",3,"male","single","individual",3,"vehicle",32,"bank debt","owned",2,"skilled",2,"no","yes","good"
"no checking",33,"critical","business",2764,"between 500 and 999","less than 4 years",2,"female","unspecified","individual",2,"vehicle",26,"no debt","owned",2,"skilled",1,"yes","yes","good"
"no checking",24,"critical","used car",4679,"between 500 and 999","less than 7 years",3,"male","single","individual",3,"vehicle",35,"no debt","owned",2,"unskilled res",1,"yes","yes","good"
"less than 200",24,"delayed","radio/tv",3092,"less than 100","less than 1 year",3,"male","married/widowed","individual",2,"vehicle",22,"no debt","rented",1,"skilled",1,"yes","yes","bad"
"negative",6,"delayed","education",448,"between 500 and 999","less than 1 year",4,"female","unspecified","individual",4,"life insurance",23,"no debt","owned",1,"skilled",1,"no","yes","bad"
"negative",9,"delayed","new car",654,"between 500 and 999","less than 4 years",4,"male","single","individual",3,"vehicle",28,"no debt","owned",1,"unskilled res",1,"no","yes","bad"
"no checking",6,"delayed","retraining",1238,"between 100 and 499","unemployed",4,"male","single","individual",4,"life insurance",36,"no debt","owned",1,"highly qualified",2,"yes","yes","good"
"less than 200",18,"dully paid","radio/tv",1245,"between 500 and 999","less than 4 years",4,"male","married/widowed","individual",2,"vehicle",33,"no debt","owned",1,"skilled",1,"no","yes","bad"
"negative",18,"duly paying","furniture/equipment",3114,"between 500 and 999","less than 1 year",1,"female","unspecified","individual",4,"life insurance",26,"no debt","rented",1,"skilled",1,"no","yes","bad"
"no checking",39,"delayed","used car",2569,"more than or = 1000","less than 4 years",4,"male","single","individual",4,"vehicle",24,"no debt","owned",1,"skilled",1,"no","yes","good"
"more than or = 200",24,"delayed","radio/tv",5152,"between 500 and 999","less than 7 years",4,"male","single","individual",2,"vehicle",25,"bank debt","owned",1,"skilled",1,"no","yes","good"
"less than 200",12,"delayed","business",1037,"less than 100","less than 7 years",3,"male","single","individual",4,"real estate",39,"no debt","owned",1,"unskilled res",1,"no","yes","good"
"negative",15,"dully paid","furniture/equipment",1478,"between 500 and 999","more than 7 years",4,"male","single","individual",4,"vehicle",44,"no debt","owned",2,"skilled",2,"yes","yes","good"
"less than 200",12,"dully paid","radio/tv",3573,"between 500 and 999","less than 4 years",1,"female","unspecified","individual",1,"real estate",23,"no debt","owned",1,"unskilled res",1,"no","yes","good"
"less than 200",24,"delayed","new car",1201,"between 500 and 999","less than 1 year",4,"male","single","individual",1,"life insurance",26,"no debt","owned",1,"skilled",1,"no","yes","good"
"negative",30,"delayed","furniture/equipment",3622,"no savingss","more than 7 years",4,"female","unspecified","individual",4,"life insurance",57,"no debt","rented",2,"skilled",1,"yes","yes","good"
"no checking",15,"critical","furniture/equipment",960,"no savingss","less than 7 years",3,"female","unspecified","individual",2,"life insurance",30,"no debt","owned",2,"skilled",1,"no","yes","good"
"no checking",12,"dully paid","new car",1163,"more than or = 1000","less than 4 years",4,"male","single","individual",4,"real estate",44,"no debt","owned",1,"skilled",1,"yes","yes","good"
